2022-07-05 21:07:583 INFO  HomePage :53 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (7b96aa5a65c7f7553362398128676bb0)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 21:07:245 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (7b96aa5a65c7f7553362398128676bb0)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:606 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (7b96aa5a65c7f7553362398128676bb0)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:519 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 21:07:428 INFO  HomePage :47 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (2892ed256eb65da520c55c88f9f016b9)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 21:07:867 INFO  HomePage :53 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (2892ed256eb65da520c55c88f9f016b9)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 21:07:618 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (2892ed256eb65da520c55c88f9f016b9)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:890 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (2892ed256eb65da520c55c88f9f016b9)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:532 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 21:07:86 INFO  HomePage :47 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (cfb7f2b1cf6cce5d9ae111c9a7031a7d)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 21:07:390 INFO  HomePage :53 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (cfb7f2b1cf6cce5d9ae111c9a7031a7d)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 21:07:851 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (cfb7f2b1cf6cce5d9ae111c9a7031a7d)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:10 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (cfb7f2b1cf6cce5d9ae111c9a7031a7d)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:856 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 21:07:317 INFO  HomePage :47 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (7cd63e08f482c7b290c90a9021312132)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 21:07:690 INFO  HomePage :53 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (7cd63e08f482c7b290c90a9021312132)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 21:07:109 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (7cd63e08f482c7b290c90a9021312132)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:345 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (7cd63e08f482c7b290c90a9021312132)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-11 14:07:639 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-11 14:07:861 INFO  HomePage :46 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (e366be5ced1a65ce277d38c2cb43b881)] -> xpath: //button[@id='truste-consent-button']]
2022-07-11 14:07:05 INFO  HomePage :52 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (e366be5ced1a65ce277d38c2cb43b881)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-11 14:07:343 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-11 14:07:971 INFO  HomePage :46 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (8c92d422969a81e5be576b6ad5725885)] -> xpath: //button[@id='truste-consent-button']]
2022-07-11 14:07:343 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-11 14:07:841 INFO  HomePage :46 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (a353909a15a0fdb8a4ca3e5e41f74a4b)] -> xpath: //button[@id='truste-consent-button']]
2022-07-11 14:07:971 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-11 14:07:569 INFO  HomePage :46 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (d058c5aff3f366ab0b80f27d87afd412)] -> xpath: //button[@id='truste-consent-button']]
2022-07-11 14:07:185 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-11 14:07:465 INFO  HomePage :46 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (5c916a857bdf17ba23f85a44307c3524)] -> xpath: //button[@id='truste-consent-button']]
2022-07-11 16:07:371 INFO  ManageDriver :34 - Launching Chrome Browser
